Date,Text
Date,Text
Date,Text
Date,Text
2020-02-05 06:29:29,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:29:26,"b'RT @JamesMilner: Full house tonight at Anfield - show them what you can do, lads \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x94\xb4 #FACup #YNWA https://t.co/4sXRBpU9e9'"
2020-02-05 06:28:45,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:28:41,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:28:11,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:28:04,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:27:42,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:27:35,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:27:34,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:27:28,"b'RT @twt_liverpool: Muda\nHarapan digalas\nBright, bright future ahead\n\n... kudos to Critchley and our U23 team... #ynwa \n\nWE SHUT THEM UP!!!\xe2\x80\xa6'"
2020-02-05 06:27:20,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:27:19,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:27:18,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:27:09,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:26:46,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:26:17,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:26:07,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:26:03,"b'RT @JamesMilner: Full house tonight at Anfield - show them what you can do, lads \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x94\xb4 #FACup #YNWA https://t.co/4sXRBpU9e9'"
2020-02-05 06:25:47,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:25:47,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:25:39,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:25:30,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:25:16,"b""Honestly, it's so hard not to love this club! Unbelievable! \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f #YNWA https://t.co/FfGgHcoJtc"""
2020-02-05 06:24:42,"b'RT @KeithyPatto: you can shove ye league cup,       coz the kids will win the #FACup n we will the league and the european cup &amp; that will\xe2\x80\xa6'"
2020-02-05 06:24:38,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:23:54,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:23:53,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:23:32,b'Yeah fuck you all it just goes to show that not only is our 1st team great but our youngsters are great as well ROL\xe2\x80\xa6 https://t.co/GVhwh9pSHN'
2020-02-05 06:23:17,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:22:48,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:22:46,b'RT @LiamBloye14: Alan Hansen \xe2\x80\x9cnever win anything with kids\xe2\x80\x9d \xf0\x9f\x98\x89\xf0\x9f\x98\x82 #YNWA #LFC \xf0\x9f\x94\xb4\xf0\x9f\x91\x8a\xf0\x9f\x94\xb4'
2020-02-05 06:22:41,b'RT @LyntonMclean: #Liverpool #LFC Well Played Lads!! #FACup #LFCSFC #YNWA https://t.co/81dUJe3bAS'
2020-02-05 06:22:25,"b'RT @JamesMilner: Full house tonight at Anfield - show them what you can do, lads \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x94\xb4 #FACup #YNWA https://t.co/4sXRBpU9e9'"
2020-02-05 06:22:24,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:22:16,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:22:08,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:22:04,"b'I recommend a site\xef\xbc\x8ctheir prices are very good, 30%-50% off, hope you like it,Apple iPhone 11 Pro Max $580\xe3\x80\x81DJI Phant\xe2\x80\xa6 https://t.co/MpT2C78v3w'"
2020-02-05 06:21:58,b'RT @Jeff_Tymer_: Liverpool Ladies will play against Chelsea in the next round and they will still Win  \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\n#YNWA \xe2\x9d\xa4'
2020-02-05 06:21:49,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:21:25,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:21:14,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:21:10,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:21:08,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:20:58,b'We all want a team of Milners!! #LFC #YNWA'
2020-02-05 06:20:47,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:20:30,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:19:56,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:19:46,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:19:26,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:19:23,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:19:22,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:19:21,b'@TLister77 What a beautiful time to be a #Liverpoolfc supporter... #YNWA'
2020-02-05 06:19:01,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
