tweet_id,hashtags,text,timestamp,img_urls,video_url,category
912079931009568768,['HurricaneMaria'],"#hurricanemaria an increasing threat to brush nc, va tidewater with winds,  @weatherchannel https://weather.com/storms/hurricane/news/hurricane-maria-us-east-coast-forecast …",2017-09-24 22:22:55,[],,water
912079417370972160,['HurricaneMaria'],perhaps some of the cruise lines that benefit from puerto rico could also send some floating accommodations. @carnival #hurricanemaria,2017-09-24 22:20:53,[],,transportation
912078888800530432,"['PuertoRico', 'HurricaneMaria']","city hall will light up red, white & blue as a showing of support for #puertorico & #hurricanemaria victims https://twitter.com/mayorbyronbrown/status/912076943675346944 …",2017-09-24 22:18:47,[],,health
912078526765043712,['HurricaneMaria'],"rt @luisjovalentin: official death toll related to #hurricanemaria increases to 10, says gov. @ricardorossello @caribbusiness",2017-09-24 22:17:21,[],,transportation
912077267953733632,['HurricaneMaria'],"@senatedems @housedemocrats @dnc @gop @senategop @housegop @senschumer @senatemajldr, are you listening? care to chime in? #hurricanemaria https://twitter.com/chrislhayes/status/911744417479954433 …",2017-09-24 22:12:20,[],,transportation
912077198462521344,"['ahorasuena', 'HuracanMaria', 'PuertoRico']",#ahorasuena   carlos y alejandra - cuanto duele    http://radiobachata.net  #huracanmaria #puertorico,2017-09-24 22:12:04,[],,transportation
912076790809677824,['HurricaneMaria'],how to help victims of #hurricanemaria https://nyti.ms/2jnxsix ,2017-09-24 22:10:27,[],,health
912075744129331200,['HurricaneMaria'],@ijessewilliams @msnbc @realdonaldtrump silence on #hurricanemaria is defining. victims are us citizens but he won't help why? racism.,2017-09-24 22:06:17,[],,health
912075738030931968,['HurricaneMaria'],"official death toll related to #hurricanemaria increases to 10, says gov. @ricardorossello @caribbusiness",2017-09-24 22:06:16,[],,transportation
912075472946769920,"['PuertoRico', 'HurricaneMaria', 'ILovePuertoRicohttps']","apparently the american media doesn't care about american citizens in the caribbean, either. #puertorico #hurricanemaria #ilovepuertoricohttps://twitter.com/willcaskey/status/912072224248664064 …",2017-09-24 22:05:12,[],,transportation
912074062138134528,"['Tropics', 'Maria', 'Maria2017', 'HurricaneMaria', 'SouthCarolina', 'NorthCarolina', 'Virginiapic']",#tropics #maria #maria2017 #hurricanemaria #southcarolina #northcarolina #virginiapic.twitter.com/ddfdlz3azp,2017-09-24 21:59:36,['https://pbs.twimg.com/media/DKhWhTTWsAATm82.jpg'],,transportation
912073726551887872,"['HurricaneMaria', 'avgeek', 'wxgeekpic']",meanwhile the outer bands of #hurricanemaria head to the north carolina coast... #avgeek #wxgeekpic.twitter.com/pdywzc2png,2017-09-24 21:58:16,['https://pbs.twimg.com/media/DKhWNNsU8AA8pHn.jpg'],,transportation
912073065466646528,['HurricaneMaria'],every dime will be used for the victims of #hurricanemaria thank you to those who donated at the… https://www.instagram.com/p/bzciqugax-v/ ,2017-09-24 21:55:38,[],,health
