tweet_id,hashtags,text,timestamp,img_urls,video_url
912078080570732544,"['ahorasuena', 'HuracanMaria', 'PuertoRico']",#ahorasuena   El Varon De La Bachata - Alma Perdida  (EN VIVO)    http://Radiobachata.net  #HuracanMaria #PuertoRico,2017-09-24 22:15:34,[],
912078061356675072,"['hurricanemaria', 'loveforpuertorico']",So is J Lo. She's donating one million dollars. #hurricanemaria #loveforpuertorico https://www.instagram.com/p/BZcK8IIltP9/ ,2017-09-24 22:15:30,[],
912078012744691712,"['TomaNotaVenezuela', 'Dominica', 'HuracánMaría']",#TomaNotaVenezuela  Hallan a venezolana desaparecida en #Dominica tras #HuracánMaría http://bit.ly/2yzsJlZ pic.twitter.com/rokdIpcK3x,2017-09-24 22:15:18,['https://pbs.twimg.com/media/DKhaHeeX0AAnvth.jpg'],
912077960622034944,['huracánMaría'],"NYC está contigo, Puerto Rico. Dona en estas ubicaciones de NYC para la recuperación del #huracánMaría. @NYCMayorsOfficepic.twitter.com/2jiHVyabFO",2017-09-24 22:15:06,['https://pbs.twimg.com/media/DKhaEgnX0AExp1-.jpg'],
912077959095300096,"['HurricaneMaria', 'Irma']","Millions affected by disasters like #HurricaneMaria + #Irma. @JY_LeDrian, @angealfa,@margotwallstrom will you pledge funds to rebuild lives?",2017-09-24 22:15:05,[],
912077938979459072,['HurricaneMaria'],#HurricaneMaria is still churning towards the East Coast http://via.cbs4indy.com/WzDXC ,2017-09-24 22:15:00,[],
912077894524051456,"['Vieques', 'HurricaneMARIA', 'MARIA', 'PuertoRico', 'Wx', 'News', 'PR']",#Vieques #HurricaneMARIA #MARIA #PuertoRico #Wx #News/ #PR Govnr already established communication with Vieques @annerichardsDRCpic.twitter.com/HIxVz1746q,2017-09-24 22:14:50,['https://pbs.twimg.com/media/DKhZswQW4AYvup4.jpg'],
912077771488325632,"['HuracánMaría', 'Dominica']",teleSURtv : #HuracánMaría deja 30 muertos en su paso por #Dominica http://bit.ly/2fKaBxG  … https://twitter.com/teleSURtv/status/912077438217224196 …)pic.twitter.com/NGi50BXrx9,2017-09-24 22:14:20,['https://pbs.twimg.com/media/DKhZ5h4XkAAuB_R.jpg'],
912077757730971648,"['HuracánMaría', 'Dominica']",#HuracánMaría deja 30 muertos en su paso por #Dominica http://bit.ly/2fKaBxG pic.twitter.com/Jw5fP1OiVp,2017-09-24 22:14:17,['https://pbs.twimg.com/media/DKgsdMHXoAcwkAj.jpg'],
912077740219781120,"['HuracánMaría', 'Dominica']","""#HuracánMaría deja 30 muertos en su paso por #Dominica http://bit.ly/2fKaBxG  pic.twitter.com/RThhfCCLq3""",2017-09-24 22:14:13,['https://pbs.twimg.com/media/DKgsdMHXoAcwkAj.jpg'],
912077539895599104,"['EnVivo', 'SanJuan', 'PuertoRico', 'HuracanMaria']",Ya estamos #EnVivo por @CNNEE desde #SanJuan #PuertoRico con la última información sobre como se recupera la isla tras el #HuracanMaria.,2017-09-24 22:13:25,[],
912077438217224192,"['HuracánMaría', 'Dominica']",#HuracánMaría deja 30 muertos en su paso por #Dominica http://bit.ly/2fKaBxG pic.twitter.com/QQtdZvf7Kj,2017-09-24 22:13:01,['https://pbs.twimg.com/media/DKgsdMHXoAcwkAj.jpg'],
912077278766665728,"['HurricaneMaria', 'SKN']","Due to #HurricaneMaria #SKN Independence Day commemorative activities will be on Saturday, October 7. This is what it looked like last year.pic.twitter.com/z9lj6GQpdC",2017-09-24 22:12:23,['https://pbs.twimg.com/media/DKhZAlGXkAEmThg.jpg'],
912077267953733632,['HurricaneMaria'],"@SenateDems @HouseDemocrats @DNC @GOP @SenateGOP @HouseGOP @SenSchumer @SenateMajLdr, are you listening? Care to chime in? #HurricaneMaria https://twitter.com/chrislhayes/status/911744417479954433 …",2017-09-24 22:12:20,[],
